time,pm10 (μg/m³),pm2_5 (μg/m³),nitrogen_dioxide (μg/m³),ozone (μg/m³),sulphur_dioxide (μg/m³),carbon_monoxide (μg/m³),european_aqi (EAQI)
2025-05-15T00:00,12.9,10.4,10.6,55.0,0.6,177.0,25
2025-05-15T01:00,12.7,10.1,10.6,52.0,0.6,177.0,24
2025-05-15T02:00,14.0,10.2,10.4,49.0,0.7,169.0,24
2025-05-15T03:00,14.7,11.1,9.9,47.0,0.7,170.0,23
2025-05-15T04:00,14.7,11.1,8.6,46.0,0.5,166.0,23
2025-05-15T05:00,13.8,11.5,8.1,46.0,0.4,165.0,22
2025-05-15T06:00,15.6,12.2,9.7,46.0,0.5,165.0,22
2025-05-15T07:00,20.3,16.3,13.5,34.0,0.8,183.0,22
2025-05-15T08:00,21.2,17.7,14.9,52.0,1.1,184.0,22
2025-05-15T09:00,18.8,15.1,11.9,65.0,1.4,174.0,26
2025-05-15T10:00,18.0,13.4,10.0,78.0,1.8,166.0,31
2025-05-15T11:00,16.8,12.5,6.6,93.0,1.6,162.0,37
2025-05-15T12:00,12.9,11.7,3.5,110.0,1.3,155.0,47
2025-05-15T13:00,11.7,9.8,2.1,115.0,0.8,155.0,50
2025-05-15T14:00,11.7,9.9,1.9,115.0,0.7,154.0,50
2025-05-15T15:00,11.2,9.6,1.8,116.0,0.6,154.0,51
2025-05-15T16:00,11.1,9.3,2.1,117.0,0.6,155.0,51
2025-05-15T17:00,10.9,9.0,2.9,117.0,0.5,156.0,51
2025-05-15T18:00,10.9,8.9,4.7,117.0,0.7,156.0,51
2025-05-15T19:00,9.2,7.8,6.3,104.0,0.6,154.0,43
2025-05-15T20:00,9.2,7.7,8.2,95.0,0.5,149.0,38
2025-05-15T21:00,7.9,6.3,7.8,92.0,0.6,146.0,37
2025-05-15T22:00,7.1,6.3,6.1,95.0,0.4,144.0,38
2025-05-15T23:00,5.7,5.2,5.1,92.0,0.4,145.0,37
2025-05-16T00:00,7.2,6.7,5.3,89.0,0.4,147.0,36
2025-05-16T01:00,5.9,5.2,4.3,92.0,0.4,144.0,37
2025-05-16T02:00,7.5,6.9,4.4,82.0,0.4,143.0,33
2025-05-16T03:00,8.9,7.9,4.3,77.0,0.4,144.0,31
2025-05-16T04:00,7.8,6.7,3.6,75.0,0.4,146.0,30
2025-05-16T05:00,8.5,7.5,3.6,66.0,0.4,145.0,26
2025-05-16T06:00,8.4,7.1,4.4,61.0,0.4,149.0,24
2025-05-16T07:00,8.1,6.7,6.6,63.0,0.4,157.0,25
2025-05-16T08:00,9.0,6.9,8.2,62.0,0.6,162.0,25
2025-05-16T09:00,8.9,6.6,5.8,71.0,0.7,153.0,28
2025-05-16T10:00,8.1,6.9,4.5,86.0,0.6,146.0,34
2025-05-16T11:00,8.1,5.7,3.1,88.0,0.7,141.0,35
2025-05-16T12:00,7.1,4.9,2.2,94.0,0.7,139.0,38
2025-05-16T13:00,7.1,4.9,2.0,103.0,0.7,138.0,42
2025-05-16T14:00,7.3,5.1,1.8,111.0,0.7,137.0,47
2025-05-16T15:00,7.3,5.0,2.0,113.0,0.5,138.0,49
2025-05-16T16:00,7.3,5.0,2.2,114.0,0.5,138.0,49
2025-05-16T17:00,8.0,5.7,2.6,113.0,0.4,142.0,49
2025-05-16T18:00,8.7,6.4,3.7,110.0,0.4,144.0,47
2025-05-16T19:00,8.5,6.2,5.6,104.0,0.5,148.0,43
2025-05-16T20:00,8.9,6.1,8.7,91.0,0.6,155.0,36
2025-05-16T21:00,9.4,6.5,9.9,79.0,0.6,160.0,32
2025-05-16T22:00,10.6,7.7,11.5,64.0,0.6,164.0,26
2025-05-16T23:00,10.7,7.5,11.4,65.0,0.5,166.0,26
2025-05-17T00:00,11.9,8.5,10.0,70.0,0.5,160.0,28
2025-05-17T01:00,12.2,9.3,9.1,59.0,0.4,156.0,24
2025-05-17T02:00,12.7,10.0,9.3,66.0,0.4,154.0,26
2025-05-17T03:00,12.7,11.5,7.9,49.0,0.5,152.0,20
2025-05-17T04:00,9.8,7.8,6.9,47.0,0.5,152.0,19
2025-05-17T05:00,10.8,8.7,6.6,38.0,0.4,154.0,15
2025-05-17T06:00,12.1,9.6,8.5,37.0,0.5,159.0,15
2025-05-17T07:00,14.2,11.2,8.4,32.0,0.8,164.0,14
2025-05-17T08:00,14.9,13.3,6.4,49.0,0.8,167.0,20
2025-05-17T09:00,16.2,13.8,4.5,57.0,0.8,163.0,23
2025-05-17T10:00,15.8,11.4,5.9,70.0,1.0,158.0,28
2025-05-17T11:00,13.2,10.2,3.7,92.0,0.7,151.0,37
2025-05-17T12:00,9.2,8.1,2.0,105.0,0.5,147.0,43
2025-05-17T13:00,7.1,6.5,1.4,107.0,0.5,145.0,45
2025-05-17T14:00,8.6,6.7,1.3,110.0,0.5,144.0,47
2025-05-17T15:00,7.0,6.0,1.2,110.0,0.4,141.0,47
2025-05-17T16:00,6.6,5.8,1.3,111.0,0.4,138.0,47
2025-05-17T17:00,6.3,5.5,1.7,112.0,0.4,136.0,48
2025-05-17T18:00,6.2,5.0,2.6,105.0,0.4,140.0,43
2025-05-17T19:00,6.2,4.4,3.7,97.0,0.5,145.0,39
2025-05-17T20:00,8.1,5.6,7.2,84.0,0.5,150.0,34
2025-05-17T21:00,9.3,6.8,12.3,69.0,0.5,161.0,28
2025-05-17T22:00,11.3,8.3,11.8,60.0,0.5,167.0,24
2025-05-17T23:00,13.9,10.0,13.1,52.0,0.5,170.0,21
2025-05-18T00:00,15.3,11.3,14.1,46.0,0.5,167.0,18
2025-05-18T01:00,15.8,12.0,14.4,41.0,0.6,164.0,17
2025-05-18T02:00,17.3,13.8,15.1,36.0,0.6,179.0,17
2025-05-18T03:00,17.6,15.4,14.6,35.0,0.5,181.0,18
2025-05-18T04:00,17.8,14.9,12.0,38.0,0.6,180.0,18
2025-05-18T05:00,18.4,14.8,10.0,35.0,0.6,177.0,19
2025-05-18T06:00,16.0,12.9,9.5,33.0,0.6,169.0,19
2025-05-18T07:00,15.9,13.2,9.0,34.0,0.6,166.0,19
2025-05-18T08:00,15.1,12.8,6.3,51.0,0.6,163.0,20
2025-05-18T09:00,13.0,11.2,5.1,63.0,0.7,156.0,25
2025-05-18T10:00,11.9,9.0,4.1,77.0,0.8,153.0,31
2025-05-18T11:00,12.1,10.3,3.1,88.0,0.8,154.0,35
2025-05-18T12:00,18.5,15.2,2.5,100.0,0.8,151.0,40
2025-05-18T13:00,20.3,18.2,1.9,107.0,0.7,159.0,45
2025-05-18T14:00,19.3,15.9,1.6,118.0,0.8,158.0,52
2025-05-18T15:00,19.7,15.5,1.5,112.0,0.6,150.0,48
2025-05-18T16:00,13.9,11.9,1.5,110.0,0.5,142.0,47
2025-05-18T17:00,12.8,8.6,1.6,112.0,0.6,141.0,48
2025-05-18T18:00,10.5,7.5,2.2,110.0,0.5,139.0,47
2025-05-18T19:00,10.0,6.9,3.8,106.0,0.5,142.0,44
2025-05-18T20:00,11.9,8.4,5.9,101.0,0.5,148.0,41
2025-05-18T21:00,13.9,8.5,8.1,81.0,0.6,154.0,32
2025-05-18T22:00,14.2,8.9,9.4,72.0,0.8,161.0,29
2025-05-18T23:00,16.6,12.0,10.1,64.0,0.8,156.0,26
2025-05-19T00:00,13.9,11.8,11.0,59.0,0.6,157.0,24
2025-05-19T01:00,13.3,11.0,9.3,59.0,0.4,154.0,24
2025-05-19T02:00,14.9,12.1,6.4,68.0,0.4,147.0,27
2025-05-19T03:00,14.8,11.9,4.9,61.0,0.4,141.0,24
2025-05-19T04:00,14.5,11.8,4.5,61.0,0.4,143.0,24
